epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1137.35,0.52337,0.33752,0.86024,0.99353,1,0.995,0.89463,0.40912,0.33424,0.8219,0.002377,0.002377,0.002377
156,1144.85,0.47732,0.34205,0.79505,0.9936,1,0.995,0.89792,0.39844,0.29622,0.82083,0.0023275,0.0023275,0.0023275
157,1152.31,0.57169,0.37148,0.8626,0.9936,1,0.995,0.89792,0.39844,0.29622,0.82083,0.002278,0.002278,0.002278
158,1159.28,0.53003,0.33552,0.88434,0.9936,1,0.995,0.89792,0.39844,0.29622,0.82083,0.0022285,0.0022285,0.0022285
159,1166.42,0.51934,0.31937,0.85005,0.9936,1,0.995,0.89792,0.39844,0.29622,0.82083,0.002179,0.002179,0.002179
160,1173.62,0.55186,0.35088,0.83492,0.99318,1,0.995,0.88806,0.47681,0.30883,0.83503,0.0021295,0.0021295,0.0021295
161,1181.39,0.4926,0.29277,0.81424,0.99318,1,0.995,0.88806,0.47681,0.30883,0.83503,0.00208,0.00208,0.00208
162,1188.8,0.58917,0.40725,0.90792,0.99318,1,0.995,0.88806,0.47681,0.30883,0.83503,0.0020305,0.0020305,0.0020305
163,1197.02,0.5101,0.28949,0.77535,0.99318,1,0.995,0.88806,0.47681,0.30883,0.83503,0.001981,0.001981,0.001981
164,1204.79,0.5134,0.29542,0.87413,0.99393,1,0.995,0.90723,0.44503,0.32474,0.82519,0.0019315,0.0019315,0.0019315
165,1212.28,0.4202,0.25633,0.84746,0.99393,1,0.995,0.90723,0.44503,0.32474,0.82519,0.001882,0.001882,0.001882
166,1219.97,0.59226,0.36245,0.91337,0.99393,1,0.995,0.90723,0.44503,0.32474,0.82519,0.0018325,0.0018325,0.0018325
167,1227.44,0.4474,0.27554,0.80284,0.99393,1,0.995,0.90723,0.44503,0.32474,0.82519,0.001783,0.001783,0.001783
168,1235.58,0.57078,0.43894,0.90972,0.99442,1,0.995,0.90718,0.43835,0.34539,0.8286,0.0017335,0.0017335,0.0017335
169,1243.03,0.40535,0.26095,0.77744,0.99442,1,0.995,0.90718,0.43835,0.34539,0.8286,0.001684,0.001684,0.001684
170,1250.43,0.55167,0.29912,0.90604,0.99442,1,0.995,0.90718,0.43835,0.34539,0.8286,0.0016345,0.0016345,0.0016345
171,1257.48,0.55719,0.38878,0.81468,0.99442,1,0.995,0.90718,0.43835,0.34539,0.8286,0.001585,0.001585,0.001585
172,1264.85,0.49668,0.35544,0.86713,0.99446,1,0.995,0.90732,0.48158,0.3233,0.83523,0.0015355,0.0015355,0.0015355
173,1272.15,0.45824,0.30946,0.79504,0.99446,1,0.995,0.90732,0.48158,0.3233,0.83523,0.001486,0.001486,0.001486
174,1280.09,0.47285,0.28205,0.85141,0.99446,1,0.995,0.90732,0.48158,0.3233,0.83523,0.0014365,0.0014365,0.0014365
175,1287.44,0.51583,0.33683,0.84061,0.99446,1,0.995,0.90732,0.48158,0.3233,0.83523,0.001387,0.001387,0.001387
176,1294.89,0.439,0.30599,0.82395,0.99442,1,0.995,0.86256,0.52585,0.311,0.84554,0.0013375,0.0013375,0.0013375
177,1302.23,0.52727,0.29909,0.87227,0.99442,1,0.995,0.86256,0.52585,0.311,0.84554,0.001288,0.001288,0.001288
178,1309.54,0.44493,0.27855,0.81565,0.99442,1,0.995,0.86256,0.52585,0.311,0.84554,0.0012385,0.0012385,0.0012385
179,1316.84,0.42983,0.2833,0.82949,0.99442,1,0.995,0.86256,0.52585,0.311,0.84554,0.001189,0.001189,0.001189
180,1324.38,0.44104,0.33247,0.88365,0.99442,1,0.995,0.9043,0.45104,0.27747,0.82692,0.0011395,0.0011395,0.0011395
181,1331.82,0.43102,0.31417,0.84188,0.99442,1,0.995,0.9043,0.45104,0.27747,0.82692,0.00109,0.00109,0.00109
182,1339.19,0.4134,0.30652,0.78596,0.99442,1,0.995,0.9043,0.45104,0.27747,0.82692,0.0010405,0.0010405,0.0010405
183,1346.44,0.48573,0.32972,0.82346,0.99442,1,0.995,0.9043,0.45104,0.27747,0.82692,0.000991,0.000991,0.000991
184,1353.84,0.46217,0.30308,0.84057,0.99478,1,0.995,0.90969,0.4427,0.25129,0.82509,0.0009415,0.0009415,0.0009415
185,1361.21,0.37625,0.29505,0.91305,0.99478,1,0.995,0.90969,0.4427,0.25129,0.82509,0.000892,0.000892,0.000892
186,1368.48,0.43726,0.26584,0.85844,0.99478,1,0.995,0.90969,0.4427,0.25129,0.82509,0.0008425,0.0008425,0.0008425
187,1375.89,0.47667,0.33553,0.82107,0.99478,1,0.995,0.90969,0.4427,0.25129,0.82509,0.000793,0.000793,0.000793
188,1383.07,0.46545,0.28295,0.83365,0.9947,1,0.995,0.91004,0.42343,0.24799,0.81871,0.0007435,0.0007435,0.0007435
189,1390.11,0.43342,0.27663,0.83138,0.9947,1,0.995,0.91004,0.42343,0.24799,0.81871,0.000694,0.000694,0.000694
190,1397.28,0.45683,0.30988,0.89963,0.9947,1,0.995,0.91004,0.42343,0.24799,0.81871,0.0006445,0.0006445,0.0006445
191,1404.48,0.45501,0.29454,0.70603,0.9947,1,0.995,0.91004,0.42343,0.24799,0.81871,0.000595,0.000595,0.000595
192,1411.68,0.37493,0.26069,0.76861,0.99479,1,0.995,0.91479,0.41521,0.24942,0.81755,0.0005455,0.0005455,0.0005455
